"","X","Year","recruitment","high_recruitment","low_recruitment","low_SSB","SSB","high_SSB","catches","landings","discards","low_F","F","high_F","StockPublishNote","Purpose","Fage","fishstock","recruitment_age","AssessmentYear","units","stockSizeDescription","stockSizeUnits","fishingPressureDescription","fishingPressureUnits","AssessmentKey","StockDatabaseID","StockKey","FLim","Fpa","Bpa","Blim","FMSY","MSYBtrigger","Fmanagement","Bmanagement","RecruitmentAge","RecruitmentLength"
"21",21,1967,31108760,44465742,21764057,855477,1002493,1174773,695500,695500,NA,0.566,0.663,0.776,"Stock published","Advice",NA,"her.27.3a47d",0,2017,"tonnes","SSB","tonnes",FALSE,"per year",8742,1572,169119,0.39,0.34,1000000,800000,0.33,1500000,NA,NA,0,NA
"22",22,1968,31705477,45477052,22104275,468454,549080,643583,717800,717800,NA,0.85,0.992,1.159,"Stock published","Advice",NA,"her.27.3a47d",0,2017,"tonnes","SSB","tonnes",FALSE,"per year",8742,1572,169119,0.39,0.34,1000000,800000,0.33,1500000,NA,NA,0,NA
"23",23,1969,15294441,22309331,10485295,394802,484077,593540,546700,546700,NA,0.771,0.902,1.055,"Stock published","Advice",NA,"her.27.3a47d",0,2017,"tonnes","SSB","tonnes",FALSE,"per year",8742,1572,169119,0.39,0.34,1000000,800000,0.33,1500000,NA,NA,0,NA
"24",24,1970,32056162,45265604,22701510,373939,460008,565889,563100,563100,NA,0.831,0.961,1.111,"Stock published","Advice",NA,"her.27.3a47d",0,2017,"tonnes","SSB","tonnes",FALSE,"per year",8742,1572,169119,0.39,0.34,1000000,800000,0.33,1500000,NA,NA,0,NA
"25",25,1971,24593679,34419713,17572751,262704,319017,387402,520100,520100,NA,1.127,1.307,1.516,"Stock published","Advice",NA,"her.27.3a47d",0,2017,"tonnes","SSB","tonnes",FALSE,"per year",8742,1572,169119,0.39,0.34,1000000,800000,0.33,1500000,NA,NA,0,NA
"26",26,1972,16936811,23597506,12156182,264467,321901,391809,497500,497500,NA,0.584,0.689,0.814,"Stock published","Advice",NA,"her.27.3a47d",0,2017,"tonnes","SSB","tonnes",FALSE,"per year",8742,1572,169119,0.39,0.34,1000000,800000,0.33,1500000,NA,NA,0,NA
"27",27,1973,8376997,11822663,5935556,234104,280688,336542,484000,484000,NA,0.782,0.9,1.036,"Stock published","Advice",NA,"her.27.3a47d",0,2017,"tonnes","SSB","tonnes",FALSE,"per year",8742,1572,169119,0.39,0.34,1000000,800000,0.33,1500000,NA,NA,0,NA
"28",28,1974,15966447,22566548,11296695,158707,188716,224400,275100,275100,NA,0.792,0.915,1.056,"Stock published","Advice",NA,"her.27.3a47d",0,2017,"tonnes","SSB","tonnes",FALSE,"per year",8742,1572,169119,0.39,0.34,1000000,800000,0.33,1500000,NA,NA,0,NA
"29",29,1975,3328392,4979006,2224982,89884,108554,131101,312800,312800,NA,0.912,1.088,1.299,"Stock published","Advice",NA,"her.27.3a47d",0,2017,"tonnes","SSB","tonnes",FALSE,"per year",8742,1572,169119,0.39,0.34,1000000,800000,0.33,1500000,NA,NA,0,NA
"30",30,1976,4164055,6421234,2700316,112713,148449,195516,174800,174800,NA,0.666,0.852,1.089,"Stock published","Advice",NA,"her.27.3a47d",0,2017,"tonnes","SSB","tonnes",FALSE,"per year",8742,1572,169119,0.39,0.34,1000000,800000,0.33,1500000,NA,NA,0,NA
